,device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,type
timestep_51,20668625510,267873195207,"(0.648468017578125, 0.8433626890182495)","(28.011241912841797, 25.4750919342041, -1.3695932626724243)",1,6.350921630859375,1,"(-52.76720428466797, 14.918910026550293, 578.4271240234375)","(0.6252095699310303, 0.4655936062335968, 0.30061352252960205)",1,"(0.6644922494888306, 0.814875602722168)","(31.03451156616211, 28.631654739379883, -0.2207060605287552)",1,5.53509521484375,1,"(8.194727897644043, 14.19581127166748, 573.5245361328125)","(0.4807647466659546, 0.46633413434028625, 0.28486859798431396)",1,user
timestep_52,20668625510,267873195207,"(0.648468017578125, 0.8433626890182495)","(28.011241912841797, 25.4750919342041, -1.3695932626724243)",1,6.350921630859375,1,"(-52.76720428466797, 14.918910026550293, 578.4271240234375)","(0.6252095699310303, 0.4655936062335968, 0.30061352252960205)",1,"(0.6644922494888306, 0.814875602722168)","(31.03451156616211, 28.631654739379883, -0.2207060605287552)",1,5.53509521484375,1,"(8.194727897644043, 14.19581127166748, 573.5245361328125)","(0.4807647466659546, 0.46633413434028625, 0.28486859798431396)",1,user
timestep_53,20668625510,267873195207,"(0.648468017578125, 0.8433626890182495)","(28.011241912841797, 25.4750919342041, -1.3695932626724243)",1,6.350921630859375,1,"(-52.76720428466797, 14.918910026550293, 578.4271240234375)","(0.6252095699310303, 0.4655936062335968, 0.30061352252960205)",1,"(0.6644922494888306, 0.814875602722168)","(31.03451156616211, 28.631654739379883, -0.2207060605287552)",1,5.53509521484375,1,"(8.194727897644043, 14.19581127166748, 573.5245361328125)","(0.4807647466659546, 0.46633413434028625, 0.28486859798431396)",1,user
timestep_54,20668625510,267873195207,"(0.648468017578125, 0.8433626890182495)","(28.011241912841797, 25.4750919342041, -1.3695932626724243)",1,6.350921630859375,1,"(-52.76720428466797, 14.918910026550293, 578.4271240234375)","(0.6252095699310303, 0.4655936062335968, 0.30061352252960205)",1,"(0.6644922494888306, 0.814875602722168)","(31.03451156616211, 28.631654739379883, -0.2207060605287552)",1,5.53509521484375,1,"(8.194727897644043, 14.19581127166748, 573.5245361328125)","(0.4807647466659546, 0.46633413434028625, 0.28486859798431396)",1,user
timestep_55,20668625510,267873195207,"(0.648468017578125, 0.8433626890182495)","(28.011241912841797, 25.4750919342041, -1.3695932626724243)",1,6.350921630859375,1,"(-52.76720428466797, 14.918910026550293, 578.4271240234375)","(0.6252095699310303, 0.4655936062335968, 0.30061352252960205)",1,"(0.6644922494888306, 0.814875602722168)","(31.03451156616211, 28.631654739379883, -0.2207060605287552)",1,5.53509521484375,1,"(8.194727897644043, 14.19581127166748, 573.5245361328125)","(0.4807647466659546, 0.46633413434028625, 0.28486859798431396)",1,user
timestep_56,20668625510,267873195207,"(0.648468017578125, 0.8433626890182495)","(28.011241912841797, 25.4750919342041, -1.3695932626724243)",1,6.350921630859375,1,"(-52.76720428466797, 14.918910026550293, 578.4271240234375)","(0.6252095699310303, 0.4655936062335968, 0.30061352252960205)",1,"(0.6644922494888306, 0.814875602722168)","(31.03451156616211, 28.631654739379883, -0.2207060605287552)",1,5.53509521484375,1,"(8.194727897644043, 14.19581127166748, 573.5245361328125)","(0.4807647466659546, 0.46633413434028625, 0.28486859798431396)",1,user
timestep_57,20668625510,267873195207,"(0.648468017578125, 0.8433626890182495)","(28.011241912841797, 25.4750919342041, -1.3695932626724243)",1,6.350921630859375,1,"(-52.76720428466797, 14.918910026550293, 578.4271240234375)","(0.6252095699310303, 0.4655936062335968, 0.30061352252960205)",1,"(0.6644922494888306, 0.814875602722168)","(31.03451156616211, 28.631654739379883, -0.2207060605287552)",1,5.53509521484375,1,"(8.194727897644043, 14.19581127166748, 573.5245361328125)","(0.4807647466659546, 0.46633413434028625, 0.28486859798431396)",1,user
timestep_58,20668625510,267873195207,"(0.648468017578125, 0.8433626890182495)","(28.011241912841797, 25.4750919342041, -1.3695932626724243)",1,6.350921630859375,1,"(-52.76720428466797, 14.918910026550293, 578.4271240234375)","(0.6252095699310303, 0.4655936062335968, 0.30061352252960205)",1,"(0.6644922494888306, 0.814875602722168)","(31.03451156616211, 28.631654739379883, -0.2207060605287552)",1,5.53509521484375,1,"(8.194727897644043, 14.19581127166748, 573.5245361328125)","(0.4807647466659546, 0.46633413434028625, 0.28486859798431396)",1,user
timestep_59,20668625510,267873195207,"(0.648468017578125, 0.8433626890182495)","(28.011241912841797, 25.4750919342041, -1.3695932626724243)",1,6.350921630859375,1,"(-52.76720428466797, 14.918910026550293, 578.4271240234375)","(0.6252095699310303, 0.4655936062335968, 0.30061352252960205)",1,"(0.6644922494888306, 0.814875602722168)","(31.03451156616211, 28.631654739379883, -0.2207060605287552)",1,5.53509521484375,1,"(8.194727897644043, 14.19581127166748, 573.5245361328125)","(0.4807647466659546, 0.46633413434028625, 0.28486859798431396)",1,user
timestep_60,20668625510,267873195207,"(0.648468017578125, 0.8433626890182495)","(28.011241912841797, 25.4750919342041, -1.3695932626724243)",1,6.350921630859375,1,"(-52.76720428466797, 14.918910026550293, 578.4271240234375)","(0.6252095699310303, 0.4655936062335968, 0.30061352252960205)",1,"(0.6644922494888306, 0.814875602722168)","(31.03451156616211, 28.631654739379883, -0.2207060605287552)",1,5.53509521484375,1,"(8.194727897644043, 14.19581127166748, 573.5245361328125)","(0.4807647466659546, 0.46633413434028625, 0.28486859798431396)",1,user
